Municipalities,Samples,Apparent_Color,Turbinity,pH,Res_Cloride,Alkalinity,Calcium,Magnesium,Hardness,Sulfates,Iron,Clorures,Nitrites,Coliforms,E_Coli,IRCA,Level
Charalá,8,1.1428571428,0.26625,6.8625,1.15,15.625,10.5125,6.01375,35.575,51.96,0.0366666666,5.91875,0.0188571428,0,0,0,SIN RIESGO
Charta,10,1,0.48,7.464,0,32.35,9.83,7.775,42.225,25.0471428571,0.1714285714,3.813,0.0082,109.4,1.5,21.578,MEDIO
Chima,11,0.4781818181,0.33,7.2045454545,0.99,58.6727272727,22.3818181818,18.3018181818,98.6454545454,21.6766666666,0.1271428571,7.2463636363,0.0161111111,150.1818181818,11.909090909,11.655454,BAJO
Chipatá,6,0.3333333333,0.4383333333,7.345,0.92,92.75,38.7666666666,21.1133333333,126.7,42.9575,0.058,8.3016666666,0.0038,0,0,0.195,SIN RIESGO
Cimitarra,8,6.1666666666,1.7925,7.3,0.95,49.75,29.5625,14.83875,91.43125,47.4316666666,0.0885714285,6.33375,0.0132,370,0,16.965,MEDIO
Concepción,9,3.5555555555,1.5888888888,7.3,0.4355555555,83.6666666666,26.9666666666,15.45,95.9333333333,10.3316666666,0.2383333333,10.0077777777,0.0217142857,399.25,115.125,24.621111,MEDIO
Confines,2,1,0.3,7.05,1.65,4,0.4,0.935,4.3,19.08,0.085,9.66,0.023,1.5,0,8.52,BAJO
Contratación,11,4.3,1.925,6.8363636363,0.5636363636,12.3,2.42,2.476,12.725,22.0714285714,0.1057142857,7.1,0.019,450.3,3,23.413636,MEDIO
Coromoro,3,3,3.0566666666,7.7766666666,0,114.3333333333,30.6666666666,21.39,119.8,4.8433333333,0.175,6.6766666666,0.0046666666,10.3333333333,0,27.533333,MEDIO
Curití,10,1.6,1.243,7.111,1.8333333333,11.55,4.63,3.558,20.16,18.4422222222,0.1033333333,6.543,0.005875,384.4444444444,21,13.887,BAJO
El Carmen De Chucurí,6,0.5,0.405,7,1,66.4166666666,19.75,12.295,70.9333333333,0.8,0.325,5.5733333333,0.0145,0,0,0.283333,SIN RIESGO
El Guacamayo,12,0.3333333333,1.0341666666,6.8416666666,0.7416666666,27.375,16.2416666666,9.8272727272,53.7875,25.3233333333,0.0644444444,7.0525,0.014,87.9166666666,1.4166666666,17.270833,MEDIO
El Peñón,7,10.3333333333,1.9866666666,7.3666666666,1.2,14.8333333333,11.7333333333,6.54,39,41.8425,0.31,6.035,0.011,24,1,18.137142,MEDIO
El Playón,11,1.649090909,2.7227272727,6.7545454545,0.2181818181,22.4545454545,6.7909090909,3.0872727272,19.6454545454,18.67875,0.075,5.6954545454,0.0121,3535.8181818181,256.3636363636,50.397272,ALTO
Encino,7,3.0085714285,1.3271428571,7.2614285714,0,33.1,6.5714285714,8.1914285714,40.7428571428,28.735,0.052,6.6528571428,0.0203333333,439.8333333333,0.6666666666,17.507142,MEDIO
Enciso,8,0.5,0.51125,7.32125,0.8,73.5,16.5375,26.35125,126.31875,43.644,0.036,5.78875,0.0158333333,727.7142857142,74.8571428571,19.1375,MEDIO
Florián,7,8.1966666666,10.7516666666,7.6,0.2285714285,84.1,26.8666666666,22.3616666666,120.0166666666,38.48,0.09,4.2883333333,0.0114,1.1666666666,0,40.642857,ALTO
Floridablanca,15,0,0.0046666666,7.1585714285,1.0828571428,36.0666666666,12.2733333333,7.5106666666,43.5733333333,10.68125,0.0184615384,6.828,0.0206666666,0.0666666666,0,1.250666,SIN RIESGO
Galán,11,1.012,1.0045454545,7.0454545454,1.099090909,27.4545454545,9.3072727272,7.1463636363,40.309090909,32.075,0.04,6.5727272727,0.011375,47.7,3.2,13.390909,BAJO
Gambita,10,10.9066666666,4.1388888888,6.929,1.4111111111,76.3888888888,22.9666666666,19.9522222222,106.1,24.0083333333,0.1125,5.8533333333,0.0174285714,2691.5555555555,1443.3333333333,16.686,MEDIO
Girón,37,0.1621621621,0.0394594594,7.2124324324,0.9562162162,43.9324324324,18.2081081081,9.4472972972,59.1583333333,42.076,0.0225,7.96,0.0160666666,0.9411764705,0,2.755405,SIN RIESGO
Guaca,11,0.7,0.71,7.4,1.1636363636,48.9,17.24,10.243,62.175,17.7528571428,0.0857142857,4.9,0.011375,403.5,0.75,12.983636,BAJO
Guadalupe,12,6.265,1.195,6.6125,1.7545454545,4.4583333333,3.7341666666,4.0641666666,19.4958333333,25.01875,0.2744444444,7.1445454545,0.0178,2420,18.1818181818,10.345833,BAJO
Guapotá,1,1,1.1,7.3,1,56,0,11,46,0.14,0.18,7,0,0,0,0,SIN RIESGO
Guavatá,11,1.2854545454,1.5281818181,7.1636363636,4.409090909,81.4545454545,39.6363636363,22.5336363636,133.5727272727,55.1288888888,0.0877777777,8.2636363636,0.0136666666,0.2,0,9.520909,BAJO
Güepsa,6,2,0.79,7.215,1.82,64,26.15,15.5383333333,90.8833333333,36.656,0.066,9.3566666666,0.012,4.6,0.4,14.06,BAJO
Hato,10,2.5755555555,0.898,7.26,1.38,10.6,8.29,4.868,28.61,23.3725,0.055,20.708,0.0104285714,0,0,3.542,SIN RIESGO
Jesús María,7,8.03,9.275,7.2728571428,0.35,78.5833333333,29.2833333333,21.45,118.6666666666,46.495,0.085,6.7483333333,0.0166,0.7142857142,0.1428571428,18.59,MEDIO
Jordán,8,1.875,1.91,7.29875,0.2833333333,87.375,24.4375,27.44625,138.80625,18.396,0.0816666666,5.835,0.0198571428,541.7142857142,22.4285714285,22.925,MEDIO
La Belleza,8,3,2.515,7.2875,1.525,107.5,26.0875,23.7025,130.8875,19.848,0.058,9.9175,0.0163333333,5.125,0,17.35375,MEDIO
La Paz,9,0.6866666666,0.1211111111,7.4444444444,1.3,67.6111111111,26.9333333333,15.3744444444,94.4166666666,21.3883333333,0.1433333333,10.1311111111,0.0105714285,702.2222222222,3.6666666666,25.05,MEDIO
Landázuri,4,0,0.095,7.2,1.45,65.25,40.925,16.7375,110.675,37.3533333333,0.0666666666,4.115,0.019,0,0,0,SIN RIESGO
